QDRANT Metrics - BEFORE
Service ID: 3700657
Timestamp: 2025-11-04T22:49:34.233465
================================================================================

# HELP app_info information about qdrant server
# TYPE app_info gauge
app_info{name="qdrant",version="1.15.5"} 1
# HELP app_status_recovery_mode features enabled in qdrant server
# TYPE app_status_recovery_mode gauge
app_status_recovery_mode 0
# HELP collections_total number of collections
# TYPE collections_total gauge
collections_total 0
# HELP collections_vector_total total number of vectors in all collections
# TYPE collections_vector_total gauge
collections_vector_total 0
# HELP cluster_enabled is cluster support enabled
# TYPE cluster_enabled gauge
cluster_enabled 0
# HELP memory_active_bytes Total number of bytes in active pages allocated by the application
# TYPE memory_active_bytes gauge
memory_active_bytes 1092624384
# HELP memory_allocated_bytes Total number of bytes allocated by the application
# TYPE memory_allocated_bytes gauge
memory_allocated_bytes 926797464
# HELP memory_metadata_bytes Total number of bytes dedicated to metadata
# TYPE memory_metadata_bytes gauge
memory_metadata_bytes 191078448
# HELP memory_resident_bytes Maximum number of bytes in physically resident data pages mapped
# TYPE memory_resident_bytes gauge
memory_resident_bytes 1288769536
# HELP memory_retained_bytes Total number of bytes in virtual memory mappings
# TYPE memory_retained_bytes gauge
memory_retained_bytes 1737814016
